id,created_at,title,description,hook,platform_suggestion,status,scheduled_at,notes,user_id,caption,cta,hashtags,team_id
0035e828-07c7-4157-8793-cdf2e08844d4,2025-12-14 21:47:58.527066+00,Test Idea 4,Description for test idea 4,Hook 4,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 4,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
0122e9bd-4f23-48b6-a362-1940e258e3fa,2025-12-10 16:50:08.265493+00,Checklist Post: Essential Tools for Busy Moms to Stay Organized,"Create an infographic-style Text Post listing the top organizational apps, planners, and tools that busy moms can use to streamline daily tasks and scheduling. Include short descriptions and benefits.",'Maximize your day with these must-have tools every busy mom should know about!',Instagram,Pending,2025-12-10 02:00:00+00,,5610e481-186e-4ec1-89aa-775c5214bdfc,,,,5b2d7c72-77ac-4742-b94b-59a4c074f765
01b94194-63ce-4246-bc54-3bdc60375cf8,2025-12-14 21:41:35.488661+00,Replay Attacks and API Testing: What You Need to Know,Answer a common security question by explaining how replay attacks affect APIs and how to include defenses in your API testing strategy.,'Worried about replay attacks on your APIs? Here's how testing can help.',Twitter,Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Replay attacks involve malicious retransmission of valid data to compromise APIs. This post explains the concept and shows how to test for vulnerabilities by simulating repeated requests with captured tokens or payloads. Learn how to implement nonce and timestamp validation checks in your test suites to safeguard your API.,Comment if you've encountered replay attack issues.,#APIsecurity #ReplayAttack #APITesting #Cybersecurity #TestAutomation #DevSecurity #SoftwareTesting #APIs #Developers #Infosec,5b2d7c72-77ac-4742-b94b-59a4c074f765
023c2209-9698-443f-bdeb-c3859e14ecbc,2025-12-14 21:40:10.420338+00,Test Idea 11,Description for test idea 11,Hook 11,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 11,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
02571ae6-06fb-43ea-aacd-b14536d8d63b,2025-12-14 21:41:14.774845+00,Test Idea 1,Description for test idea 1,Hook 1,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 1,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
02bff6c9-5530-416c-96ea-e369b61e407b,2025-12-14 22:04:00.395145+00,What Are the Key Metrics To Track in Performance Testing?,Answering the burning question about the most important metrics QA engineers should monitor during performance tests.,'Wondering what performance metrics really matter and why?',Twitter,Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,"Performance testing effectiveness hinges on tracking the right metrics. Focus on response time, throughput, error rate, and concurrent users. Response time shows how fast your application serves requests under load. Throughput measures transaction volume per second, indicating capacity. Error rates identify stability issues, while concurrent user metrics reveal scaling limits. Monitoring these allows you to pinpoint bottlenecks and make informed optimizations to meet SLAs and user expectations.",Comment below which metric challenges you most during your tests.,#PerformanceMetrics #LoadTesting #QAE #SoftwareQA #TestingTips #PerformanceEngineering #QualityAssurance #Metrics #DevTesting #PerformanceAnalysis,5b2d7c72-77ac-4742-b94b-59a4c074f765
03b10df7-de5f-4f9c-9095-4f6d366f2f97,2025-12-14 21:40:15.842227+00,Test Idea 31,Description for test idea 31,Hook 31,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 31,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
03c043c9-ecfe-4e66-b8bd-eab51d6143d2,2025-12-14 22:05:22.339038+00,What’s the Difference Between Load Testing and Stress Testing?,"Answer the common question of how load testing and stress testing differ with clear definitions, use cases, and examples.",'Ever wondered if load testing and stress testing are the same? Here’s the clear answer every QA engineer needs.',Twitter,Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Load testing measures system behavior under expected user loads to ensure stability and response times. Stress testing pushes the system beyond normal limits to find breaking points and recovery capacity. Learn when to apply each and how to interpret their results to strengthen your performance testing strategy efficiently.,Comment below your favorite testing tool for load or stress scenarios.,#LoadTesting #StressTesting #PerformanceQA #SoftwareQuality #TestingStrategies #QAEngineers #TechGlossary #PerformanceMetrics #TestingInsights #QualityAssurance,5b2d7c72-77ac-4742-b94b-59a4c074f765
03d7adea-34b1-4dcc-8b9f-2ba60c87fb02,2025-12-14 21:41:10.249408+00,Test Idea 7,Description for test idea 7,Hook 7,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 7,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
043fa151-6405-4971-8054-62948edc511f,2025-12-11 19:44:31.446693+00,Aumente sua Renda Mensal com Bolos Caseiros: Estratégias Avançadas,"Para quem já faz bolos, mostrar como usar técnicas de marketing digital e parcerias para expandir vendas e renda mensal.",'Quer dar o próximo passo e aumentar sua renda com bolos caseiros? Veja como!',"[""General""]",Pending,2025-12-15 09:00:00+00,,99c676fd-3c66-4b26-a9e3-a0c41c271ca4,"Se você já vende bolos e quer crescer, é hora de avançar para estratégias mais robustas. Crie conteúdo regular e interativo no Instagram, como lives mostrando receitas ou respondendo perguntas. Faça parcerias com festas locais, buffets ou eventos para vender em maior escala. Utilize anúncios pagos segmentados para alcançar clientes na sua região. Invista também em embalagens personalizadas para uma marca mais profissional. Com essas ações, você pode aumentar significativamente sua renda e acelerar a conquista do seu objetivo financeiro.",Salve e compartilhe com outros empreendedores.,#aumentarrenda #boloscaseiros #empreendedorismofamiliar #marketingdigital #negocioslocais #paisempreendedores #confeitariaartesanal #vendasonline #rendaextra #gastronomia,5b2d7c72-77ac-4742-b94b-59a4c074f765
0454acb7-cb97-4ebe-9a94-72219e9da82f,2025-12-14 21:41:13.544529+00,Test Idea 6,Description for test idea 6,Hook 6,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 6,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
046d35e0-168a-4cd9-9ae5-13b86a2085c1,2025-12-14 21:41:10.987705+00,Test Idea 10,Description for test idea 10,Hook 10,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 10,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
04edc004-57ec-40f3-a59b-fc14e61553a9,2025-12-14 21:53:51.20556+00,Test Idea 3,Description for test idea 3,Hook 3,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 3,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
055c7a5e-018c-4d15-9c58-209e6505c509,2025-12-14 21:39:51.155716+00,Test Idea 25,Description for test idea 25,Hook 25,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 25,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
05752f4d-5dd0-48ae-b0f3-c03b75a31c05,2025-12-14 18:54:29.145548+00,Draggable Idea,,,[],Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,,,,5b2d7c72-77ac-4742-b94b-59a4c074f765
0638de7c-8154-4671-a1cf-2f903ca3d27e,2025-12-14 21:39:56.549544+00,Test Idea 33,Description for test idea 33,Hook 33,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 33,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
07d3f9b9-1bad-45e1-8506-05cfa9891bf3,2025-12-11 19:44:31.446693+00,Como Monetizar Seu Talento em Bolos Caseiros Usando Redes Sociais,"Explorar estratégias práticas para transformar a habilidade em fazer bolos caseiros em uma fonte de renda consistente, com foco no uso do Instagram para alcançar clientes locais e ampliar o público.",'Quer transformar sua paixão por bolos caseiros em dinheiro? Aqui está o caminho!',"[""General""]",Pending,2025-12-18 09:00:00+00,,99c676fd-3c66-4b26-a9e3-a0c41c271ca4,"Se você ama fazer bolos caseiros e quer ganhar dinheiro com isso, usar o Instagram pode ser seu maior aliado. Comece criando um perfil profissional focado em mostrar seus bolos com fotos de qualidade e depoimentos de clientes satisfeitos. Utilize Stories para mostrar o processo de preparo, criando conexão com seus seguidores. Invista em hashtags locais, como #bolocaseiroSP ou #confeitariaRJ, para alcançar pessoas próximas. Além disso, ofereça promoções exclusivas e facilite pedidos pelo direct. Com consistência e marketing certo, você pode transformar essa paixão em uma renda extra que ajuda a realizar seus sonhos, como comprar sua casa própria.",Salve este post para começar sua jornada de sucesso com bolos caseiros.,#bolocaseiro #confeitaria #rendapassiva #gastronomia #empreendedorismo #bolosartesanais #instagrammarketing #negociosemcasa #marketingdigital #paisempreendedores,5b2d7c72-77ac-4742-b94b-59a4c074f765
07e013cc-0855-4d54-8186-a5a90dde2144,2025-12-14 21:39:38.368246+00,Test Idea 26,Description for test idea 26,Hook 26,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 26,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
081f02fc-fc7d-4d85-9c30-769b857655f2,2025-12-14 21:39:53.206184+00,Test Idea 9,Description for test idea 9,Hook 9,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 9,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
08bd8b82-8463-4273-bcc7-603f16e07744,2025-12-14 21:39:27.142753+00,Test Idea 17,Description for test idea 17,Hook 17,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 17,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
08c36e5c-4ecf-4c95-85c6-898c4b9700d2,2025-12-14 21:39:55.406648+00,Test Idea 18,Description for test idea 18,Hook 18,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 18,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
0907817a-a07c-4e34-9437-aaf1fd292272,2025-12-14 22:05:22.339038+00,Choosing the Right Performance Testing Tool: A Quick Comparison Guide,Answer burning questions about which tool to use by providing a detailed comparison of popular performance testing tools and their best use cases.,'Which performance testing tool fits your project? Let’s compare the top contenders.',Twitter,Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,"From JMeter, LoadRunner, Gatling to Locust, each tool offers unique benefits. This comparison highlights features like scripting ease, protocol support, scalability, and reporting capabilities. Use this guide to select the optimal tool that aligns with your project complexity, team skills, and testing requirements.",Download the tool comparison chart for your reference.,#PerformanceTools #QA #LoadTesting #SoftwareTesting #JMeter #LoadRunner #Gatling #Locust #TestingTools #QualityAssurance,5b2d7c72-77ac-4742-b94b-59a4c074f765
094299a3-8504-4a4c-9418-0d8566b0ac3b,2025-12-14 21:39:44.228684+00,Test Idea 17,Description for test idea 17,Hook 17,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 17,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
099bc8bb-880a-4244-a304-65d9482f858f,2025-12-14 21:40:11.892814+00,Test Idea 12,Description for test idea 12,Hook 12,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 12,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
0a5d6b26-a4fe-4634-b6c1-6892fe2e3762,2025-12-14 21:39:27.912396+00,Test Idea 12,Description for test idea 12,Hook 12,"[""Instagram""]",Pending,,,5610e481-186e-4ec1-89aa-775c5214bdfc,Caption for idea 12,Test CTA,#test #api,5b2d7c72-77ac-4742-b94b-59a4c074f765
